IC명,위도,경도
안성IC,36.994219,127.156069
오산IC,37.142691,127.086371
기흥IC,37.223075,127.102657
수원신갈IC,37.266266,127.105614
대왕판교IC,37.409462,127.091972
양재IC,37.463229,127.042014
판교IC,37.397562,127.101818
기흥동탄IC,37.216953,127.099472
남사진위IC,37.106594,127.116617
서평택IC,37.000178,126.870408
발안IC,37.124645,126.883322
비봉IC,37.242385,126.883347
매송IC,37.279274,126.899805
목감IC,37.396386,126.873127
금천IC,37.46085,126.890704
광명역IC,37.404257,126.881624
어연IC,37.057822,126.989983
정남IC,37.184785,126.972172
향남IC,37.129666,127.002153
봉담IC,37.229025,126.957968
오성IC,37.016436,126.987115
신둔(이천) 하이패스IC,37.29391,127.380747
청북IC,37.047407,126.919096
송탄IC,37.035184,127.109435
서안성IC,37.033552,127.161887
남안성IC,36.975677,127.246202
음성IC,36.989132,127.620388
평택고덕IC,37.026835,127.035171
서여주IC,37.305462,127.584096
북여주IC,37.372785,127.528452
남여주IC,37.253639,127.589034
양평IC,37.521443,127.449776
남양평IC,37.483334,127.468327
서안산IC,37.351479,126.80149
안산IC,37.348,126.83816
군포IC,37.32601,126.92257
동군포IC,37.3288,126.93749
부곡IC,37.323769,126.96076
북수원IC,37.31859,126.99094
동수원IC,37.29967,127.05024
마성IC,37.283572,127.175468
용인IC,37.257273,127.210854
양지IC,37.238671,127.295604
덕평IC,37.242153,127.365249
이천IC,37.246055,127.497147
여주IC,37.252144,127.65425
안산IC,37.347386,126.840872
서안산IC,37.351873,126.805106
북수원IC,37.318779,126.992091
부곡IC,37.323856,126.961911
마성IC,37.284006,127.177364
동수원IC,37.300643,127.050798
동군포IC,37.329713,126.937307
군포IC,37.3272,126.921429
덕소삼패IC,37.594811,127.214237
화도IC,37.632498,127.312813
서종IC,37.635152,127.370279
설악IC,37.669807,127.496499
강촌IC,37.733733,127.624887
미사IC,37.581497,127.192074
선동IC,37.577939,127.177507
강일IC,37.573519,127.168218
별내IC,37.659375,127.11797
상일IC,37.550273,127.180297
서하남IC,37.511827,127.153415
송파IC,37.474394,127.129877
토평IC,37.583731,127.158009
구리IC,37.614695,127.143447
남양주IC,37.60134,127.154776
성남IC,37.428126,127.124254
송파IC,37.475024,127.128098
서하남IC,37.51234,127.151569
상일IC,37.54887,127.17949
강일IC,37.57334,127.16514
토평IC,37.58383,127.15696
남양주IC,37.601079,127.15386
구리IC,37.61539,127.14167
퇴계원IC,37.640141,127.134744
평촌IC,37.382313,126.965242
산본IC,37.377091,126.930865
시흥IC,37.455728,126.79949
장수IC,37.465497,126.755651
송내IC,37.488217,126.747678
중동IC,37.507369,126.748989
계양IC,37.545429,126.7505
김포IC,37.597069,126.778369
자유로IC,37.618172,126.801858
일산IC,37.636223,126.805909
도화IC,37.462061,126.672625
가좌IC,37.484929,126.675401
서인천IC,37.520857,126.681272
부평IC,37.524491,126.72298
부천IC,37.524907,126.778256
북오산IC,37.182843,127.059048
